ID,ideology,leadership,name,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
412195,0.21660691929403267,0.7608433226328828,Castor,Democrat,moderate Democratic leader,23,431,86,127
400108,0.5789524778919655,0.3409298518247237,Diaz-Balart,Republican,rank-and-file Republican,16,141,74,110
412698,0.7074376256681696,0.5338913420398855,Mast,Republican,rank-and-file Republican,32,209,185,275
412309,0.8271716784854106,0.3228337956044276,Posey,Republican,conservative Republican,29,404,83,110
412692,0.7681301080462595,0.6061906726621458,Rutherford,Republican,conservative Republican,10,412,282,444
412695,0.2663216202148719,0.40748702903663514,Soto,Democrat,rank-and-file Democrat,23,540,57,95
412519,0.2724750778548661,0.7283667679146048,Ruiz,Democrat,rank-and-file Democrat,47,309,228,340
412576,0.21554253109767843,0.6488148701683271,Castro,Democrat,rank-and-file Democrat,29,276,162,431
412688,0.2957484914854663,0.6816784210560719,Correa,Democrat,rank-and-file Democrat,24,309,174,374
412517,0.1542841510376937,0.7036878853973744,Cárdenas,Democrat,progressive Democrat,21,473,135,246
412825,0.18912700193243767,0.5297508635783735,Escobar,Democrat,rank-and-file Democrat,12,326,175,367
412827,0.1619116691930277,0.5791798204005564,Garcia [TX29],Democrat,rank-and-file Democrat,16,465,217,325
412725,0.36716203860942487,0.3190587618342746,Gonzalez,Democrat,centrist Democratic follower,7,182,95,106
412312,0.23542524966532866,0.5591771762220592,Sablan,Democrat,rank-and-file Democrat,16,221,82,126
412522,0.17690950851245377,0.3719732324192517,Vargas,Democrat,rank-and-file Democrat,7,473,73,78
412747,0.7142314715595219,0.4441275193511301,Balderson,Republican,rank-and-file Republican,17,269,187,229
400052,0.6713908794783175,0.5002662795100171,Burgess,Republican,rank-and-file Republican,39,199,178,297
400069,0.2942532027257932,0.31650748938865325,Case,Democrat,moderate Democratic follower,22,408,74,155
412832,0.7912836272024661,0.2782854957702647,Cline,Republican,conservative Republican,14,319,52,96
412740,0.5828247094344771,0.5114860110168497,Curtis,Republican,rank-and-file Republican,43,184,95,159
412476,0.6601551081836092,0.03997308008567447,Fleischmann,Republican,moderate Republican follower,10,237,15,18
412690,0.7741639530580778,0.26885378078087063,Gaetz,Republican,conservative Republican,39,689,79,179
400158,0.5535179017917511,0.5680181805605381,Graves [MO6],Republican,centrist Republican,21,122,248,324
412510,0.8279653338143951,0.4739095649766128,LaMalfa,Republican,conservative Republican,17,456,154,282
412503,0.5156065115330872,0.5259652814940523,Massie,Republican,centrist Republican,24,85,124,399
400659,0.6202816689401455,0.6579244582240017,McMorris Rodgers,Republican,moderate Republican leader,35,158,168,282
412662,0.7890564479119011,0.5462749740753168,Mooney,Republican,conservative Republican,30,321,175,333
412790,0.42692630199541165,0.6006814092004547,Phillips,Democrat,centrist Democrat,22,557,176,300
412818,0.6893921574860579,0.35717858780339856,Rose,Republican,rank-and-file Republican,12,211,153,222
412766,0.9053483533968958,0.697090584713743,Steube,Republican,conservative Republican leader,67,385,292,629
412410,0.6839873092479144,0.2000151380440373,Webster,Republican,moderate Republican follower,5,216,66,74
412836,0.6085220443847964,0.47572791890934496,Steil,Republican,rank-and-file Republican,31,160,164,227
412460,0.6840662903757276,0.3272732624454175,Johnson [OH6],Republican,rank-and-file Republican,16,201,133,159
412634,0.7881260771563807,0.44813169189106355,Moolenaar,Republican,conservative Republican,25,416,167,296
412709,0.6679159476291824,0.6374521838351799,Bergman,Republican,moderate Republican leader,26,265,229,368
412437,0.6617110924367441,0.4156160636269041,Huizenga,Republican,rank-and-file Republican,27,201,164,282
456791,0.787925600613237,0.32570295063560556,Tiffany,Republican,conservative Republican,24,283,112,207
412485,0.5852442986561796,0.4504117390649351,Griffith,Republican,rank-and-file Republican,33,107,130,208
412607,0.1737433742725844,0.7717330539832444,Adams,Democrat,moderate Democratic leader,27,511,185,744
412828,0.3209883222427345,0.4487311974900767,Allred,Democrat,centrist Democrat,21,601,110,148
412512,0.30745554733362224,0.6466425412393124,Bera,Democrat,rank-and-file Democrat,17,279,187,346
412775,0.1711208642032597,0.4613752021906538,Casten,Democrat,rank-and-file Democrat,27,456,167,319
400639,0.18212978784553818,0.7209540427525414,Cleaver,Democrat,rank-and-file Democrat,28,542,292,712
412762,0.3599727528025411,0.8167550460363766,Crow,Democrat,centrist Democratic leader,35,405,194,412
412613,0.1099990618832189,0.47658198121688605,DeSaulnier,Democrat,progressive Democrat,33,623,123,207
412677,0.13908020068354893,0.33510511464211545,Evans,Democrat,progressive Democrat,10,592,78,99
412257,0.2555615174547447,0.49616987483510433,Foster,Democrat,rank-and-file Democrat,37,226,121,235
412382,0.25279940867768064,0.7897527596228772,Garamendi,Democrat,moderate Democratic leader,40,447,247,636
400653,0.1779601877953849,0.8097428927587541,Green [TX9],Democrat,moderate Democratic leader,43,405,199,894
412754,0.3865213546589509,0.41196845597283144,Harder,Democrat,centrist Democrat,33,403,109,154
412282,0.2715193146485839,0.19085526694491126,Himes,Democrat,moderate Democratic follower,6,230,52,53
412810,0.3835817318906616,0.6542148783191949,Houlahan,Democrat,centrist Democrat,27,356,245,511
400199,0.11367674549085954,0.8483653173717477,Jackson Lee,Democrat,progressive Democratic leader,55,564,223,839
412561,0.2419668592852444,0.5648283435202751,Jeffries,Democrat,rank-and-file Democrat,1,35,12,12
412435,0.2458377417350063,0.5659810144797307,Keating,Democrat,rank-and-file Democrat,23,387,142,316
412546,0.3045389809383418,0.6973685800252986,Kildee,Democrat,rank-and-file Democrat,13,425,103,170
412583,0.30698179900466804,0.7992727715404353,Kilmer,Democrat,moderate Democratic leader,34,492,371,845
412797,0.28281244755792145,0.3061609031450069,Kim [NJ3],Democrat,moderate Democratic follower,24,548,72,102
400232,0.2516834433009779,0.4820320562292088,Larsen,Democrat,rank-and-file Democrat,15,273,166,236
400233,0.21269151995962188,0.7545404512151406,Larson,Democrat,rank-and-file Democrat,4,269,198,270
400291,0.29456523541561386,0.6283991211796514,Neal,Democrat,rank-and-file Democrat,6,90,143,216
412761,0.2852174121343536,0.7310944280569405,Neguse,Democrat,rank-and-file Democrat,103,596,250,694
412606,0.3033816946106479,0.6060023002300914,Norcross,Democrat,rank-and-file Democrat,19,346,182,527
412804,0.09780412087048924,0.4810229189728705,Ocasio-Cortez,Democrat,progressive Democrat,11,359,130,372
412795,0.43894221509131803,0.819326146908508,Pappas,Democrat,centrist Democratic leader,39,511,294,638
400309,0.267860890002193,0.7135878804318466,Pascrell,Democrat,rank-and-file Democrat,20,310,192,334
412758,0.18043085421982394,0.7199972477997266,Porter,Democrat,rank-and-file Democrat,83,752,227,688
412782,0.06251696689665705,0.7660114699680635,Pressley,Democrat,progressive Democratic leader,39,355,221,1119
